Active,ApsDatabaseName,SourceDirectory,TargetDirectory,DefaultSchema,ObjectType
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Views,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Views,dbo,View
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Tables,dbo,Table
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\SPs,dbo,SP
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Indexes,dbo,Index
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Statistics,dbo,Statistic
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Functions,dbo,Function
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Roles,dbo,Role
1,microb_test_automated,C:\APS2SQLDW\Output\1_CreateMPPScripts\microb_test_automated\Users,C:\APS2SQLDW\Output\3_FixSqlCode\microb_test_automated\Users,dbo,User

1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Tables,dbo,Table
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Views,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Views,dbo,View
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\SPs,dbo,SP
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Indexes,dbo,Index
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Statistics,dbo,Statistic
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Functions,dbo,Function
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Roles,dbo,Role
1,ne_analytics_data_mart_prod,C:\APS2SQLDW\Output\1_CreateMPPScripts\ne_analytics_data_mart_prod\Users,C:\APS2SQLDW\Output\3_FixSqlCode\ne_analytics_data_mart_prod\Users,dbo,User

1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Tables,dbo,Table
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Views,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Views,dbo,View
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\SPs,dbo,SP
1,NorthernEurope_EDW,C:\APS2SQLDW\Output\1_CreateMPPScripts\NorthernEurope_EDW\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\NorthernEurope_EDW\Indexes,dbo,Index
