Active,ApsDatabaseName,SourceDirectory,TargetDirectory,DefaultSchema,ObjectType
0,Archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\Archive\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\Archive\Tables,dbo,Table
0,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\Views,C:\APS2SQLDW\Output\3_FixSqlCode\archive\Views,dbo,View
1,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\archive\SPs,dbo,SP
1,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\archive\Indexes,dbo,Index
1,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\Statistics,C:\APS2SQLDW\Output\3_FixSqlCode\archive\Statistics,dbo,Statistic
1,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\Functions,C:\APS2SQLDW\Output\3_FixSqlCode\archive\Functions,dbo,Function
1,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\Roles,C:\APS2SQLDW\Output\3_FixSqlCode\archive\Roles,dbo,Role
1,archive,C:\APS2SQLDW\Output\1_CreateMPPScripts\archive\Users,C:\APS2SQLDW\Output\3_FixSqlCode\archive\Users,dbo,User
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Tables,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Tables,dbo,Table
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Views,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Views,dbo,View
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\SPs,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\SPs,dbo,SP
1,DBA_Functions,C:\APS2SQLDW\Output\1_CreateMPPScripts\DBA_Functions\Indexes,C:\APS2SQLDW\Output\3_FixSqlCode\DBA_Functions\Indexes,dbo,Index
