Name,Value,Instructions 
OneConfigFile,Yes,"Yes/No. If ""Yes"", program will generate one combined config file for all databases. If ""No"", one individual file for each DB will be generated. "
OneConfigFileName,One_ExternalTablesDriver_Generated.csv,Specify file name for the one combined config file.  
ExtTableShemaPrefix,EXT_,"Prefix to internal schema name that can be used for external schema name for data migration purpose. If internal schema is named ABC, the new schema will become EXTM_ABC that will hold all external tables. "
ExtTablePrefix,,"If you want to prefix each table. Empty is recommended if you have ""ExtTableShemaPrefix"" already defined (not empty)."
InputObjectsFolder,..\Output\2_ConvertDDLScripts,This is where output of step 2 is stored
OutputObjectsFolder,..\Output\4_CreateExternalTablesSynapse,"This is where ""Create External Table"" files for Synapse will reside "
SchemaMappingFileFullPath,..\2_ConvertDDLScripts\schemas.csv,This is the same schema mapping file that step 2 used. 
ExternalDataSourceName,AZURE_STAGING_STORAGE,"Name of the external data source. Default Value to start with. However, this can be updated for some individual tables once the config file is generated."
FileFormat,DelimitedFileFormat,"Name of the external file format. Default Value to start with. However, this can be updated for some individual tables once the config file is generated."
ExportLocation,/,This is the folder name inside your Azure Blob Storage Account. This folder will be used to store all your exported tables. 
