"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_PRECISION_RADIX","NUMERIC_SCALE","DATETIME_PRECISION","INTERVAL_TYPE","INTERVAL_PRECISION","CHARACTER_SET_CATALOG","CHARACTER_SET_SCHEMA","CHARACTER_SET_NAME","COLLATION_CATALOG","COLLATION_SCHEMA","COLLATION_NAME","DOMAIN_CATALOG","DOMAIN_SCHEMA","DOMAIN_NAME","UDT_CATALOG","UDT_SCHEMA","UDT_NAME","SCOPE_CATALOG","SCOPE_SCHEMA","SCOPE_NAME","MAXIMUM_CARDINALITY","DTD_IDENTIFIER","IS_SELF_REFERENCING","IS_IDENTITY","IDENTITY_GENERATION","IDENTITY_START","IDENTITY_INCREMENT","IDENTITY_MAXIMUM","IDENTITY_MINIMUM","IDENTITY_CYCLE","COMMENT"
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CALL_CENTER","CC_CITY","25","","YES","TEXT","60","240","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_PAGE","CP_CATALOG_NUMBER","6","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CATALOG_SALES","CS_CATALOG_PAGE_SK","13","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CUSTOMER","C_EMAIL_ADDRESS","17","","YES","TEXT","50","200","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","CUSTOMER_ADDRESS","CA_STATE","9","","YES","TEXT","2","8","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","PROMOTION","P_CHANNEL_TV","12","","YES","TEXT","1","4","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","STORE","S_TAX_PRECENTAGE","29","","YES","NUMBER","","","5","10","2","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CUSTOMER_DEMOGRAPHICS","CD_DEP_COUNT","7","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","ITEM","I_REC_END_DATE","4","","YES","DATE","","","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF100TNC","WEB_RETURNS","WR_REFUNDED_CUSTOMER_SK","4","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","WAREHOUSE","W_SUITE_NUMBER","8","","YES","TEXT","10","40","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_SALES","CS_BILL_ADDR_SK","7","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCH_SF1000","ORDERS","O_COMMENT","9","","NO","TEXT","79","316","","","","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","CATALOG_RETURNS","CR_REASON_SK","16","","YES","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
"SNOWFLAKE_SAMPLE_DATA","TPCDS_SF10TCL","INCOME_BAND","IB_INCOME_BAND_SK","1","","NO","NUMBER","","","38","10","0","","","","","","","","","","","","","","","","","","","","","NO","NO","","","","","","",""
